task,model,R2,RMSE,MAE,CV_R2,accuracy,precision,recall,F1,ROC_AUC
peak_discharge,RandomForest,0.9801867642247853,0.6384001666405402,0.43066300000000185,0.9750559491084129,,,,,
peak_discharge,XGBoost,0.982223695790852,0.6046945087832639,0.44557907943725594,0.9791541754400569,,,,,
floods?,RandomForest,,,,,0.96,1.0,0.8857142857142857,0.9393939393939394,0.9964835164835165
floods?,XGBoost,,,,,0.97,1.0,0.9142857142857143,0.9552238805970149,0.9947252747252748
flood_volume,RandomForest,0.8608949940614963,0.0031241167146753004,0.0023899074074074057,,,,,,
flood_volume,XGBoost,0.9156170566095218,0.0024332302439449877,0.001808550489704228,,,,,,
