rain_mult,imperv_mult,surf_n,infil_min,pipe_n,swmm_peak,pred_peak,abs_err,mahalanobis,knn_dist,in_range,md_quintile
1.428246677831488,0.9449150884399875,0.030697401955695543,1.2042875229751797,0.008958929766023034,26.78,27.536758,0.7567584228515614,3.2582381969601926,1.7173832439552488,False,3
1.6698111570118512,1.2346398954402273,0.028633540907023906,0.01,0.01909880000821247,23.74,24.30316,0.5631597137451188,3.6067607420015797,1.844072146419934,False,4
0.9453268410254074,1.3835431608717443,0.02458742572362088,1.4769508644553095,0.01890034176914321,23.95,22.378695,1.5713054656982415,2.8148418359343745,1.2790552849315255,False,2
0.7733653997854852,1.0489393788460526,0.008082827147362586,1.4875395254378962,0.02425909127041813,16.15,16.538914,0.38891372680664205,3.196978811967272,1.4744717537425163,False,3
1.409238942713561,0.869079093164022,0.03388708222134361,1.6299448050211283,0.028435612154566997,16.63,17.140638,0.5106383514404307,3.987126623527464,2.0919503050330137,False,5
0.7343157158935921,0.9699465843697664,0.007513366169562273,0.023384931239640416,0.02572180925602856,14.14,13.930793,0.20920719146728572,3.4369694468577485,1.6946095125459126,False,3
1.3932769909524083,1.4201741939956865,0.015537968035483131,0.4934384291076337,0.019644491589177776,23.15,23.627558,0.477557754516603,3.11702782619264,1.476894428750216,False,2
0.728126045657468,0.6671513647658766,0.019802619730109626,0.181293910294687,0.025345061568793934,9.53,10.686101,1.1561009597778327,2.9139639185015738,1.4649177555659156,False,2
1.024808359530848,1.2989556504361324,0.02619222270527429,0.36711737987158477,0.029969260556858363,15.79,15.926491,0.1364907836914071,2.8910820731211344,1.445017639322281,True,2
1.465150181242962,0.8987045306800707,0.014471026552118725,1.1719478110891421,0.010256276251905186,26.56,25.490755,1.069244918823241,2.9147700256982714,1.0814678891247564,False,2
0.7406277407819184,0.5569660740201675,0.028658013278538126,1.1335802299650672,0.02635137768841428,8.03,10.800168,2.7701680374145514,3.788857737623377,1.9847878778062231,False,4
1.4363596444347517,0.9629293952268465,0.022449860380819447,0.01,0.009538292540919334,27.7,27.948921,0.24892120361328196,2.9972062305691116,1.2840613394196105,False,2
1.301810698984935,0.9738800533408329,0.022350127068627296,1.351348058510221,0.02434602449523867,19.15,19.284903,0.13490257263183736,1.856160835636196,1.0573422629900506,True,1
1.1642701514622837,1.0530950639798582,0.014915532528483889,0.01,0.018709709700646143,24.05,23.607174,0.44282608032226634,2.205566673997599,1.2644355135334835,False,1
0.7582078414769549,0.9176294980607206,0.030549588535741315,0.19658066206070712,0.007937719548057219,13.5,13.7167225,0.2167224884033203,3.644377094107943,1.9358098352425543,False,4
0.8382227886931704,0.8142987799332078,0.025101057513134253,0.8991327631354189,0.028592594512664778,13.22,13.285963,0.06596305847167905,2.359847960109927,0.9728892769321442,True,1
1.2969122159424646,0.9157039564839193,0.029428999173036055,0.050964538586112884,0.006924591928157501,23.68,21.40234,2.2776600646972653,3.466992957172287,1.6384395368278366,False,3
0.6090323486921629,1.199774923631448,0.019409168455709825,0.038567635421114355,0.02054085966178746,13.94,17.48555,3.545549926757813,3.088555897896516,1.5878908085538261,False,2
0.6836151071670531,1.1763649205046534,0.018961846670216897,0.5164040327245822,0.014860941766996656,15.63,17.04159,1.4115897369384758,2.498124770236278,1.151649507537845,False,1
1.2561484992835537,0.8756300545025697,0.008760958321951198,0.01,0.03365954526007181,14.03,16.07299,2.0429904174804694,3.7385224305152205,2.031632879981202,False,4
1.589505802778981,1.1794097420058895,0.01383200579319951,1.7953239221063746,0.02844607079682269,16.63,16.987123,0.3571234893798838,3.9409797269414835,1.816089787199898,False,5
1.35989076316643,0.9543397496826143,0.014013302395056444,0.01,0.03197164008198499,14.78,15.957793,1.1777932357788092,3.2433353670246654,1.5104930640986711,False,3
1.0471174235767196,0.732279278698011,0.014972625933481304,0.9473784145152677,0.011310099888005812,15.48,16.043507,0.5635066223144527,2.5678018665175224,1.228915808715016,True,1
1.5272582296489565,1.232284263656613,0.026738475683048497,0.6274576520993933,0.02413510549790698,19.3,19.307693,0.0076934814453117895,2.644568269558962,1.1524790680847006,False,1
1.2008265911508373,1.1345832773404088,0.008669746692048001,0.5920451834687234,0.0074626610653525886,27.7,28.792494,1.0924938201904304,3.4929656532912507,1.823697047272977,False,3
1.0928924130184128,0.8469045644496966,0.010379250615633044,0.01,0.023006018363643337,18.46,19.16271,0.7027101898193351,2.6642571725853195,1.346789196304795,False,1
0.7055127061422438,1.3820643614135844,0.022800410289995278,0.44214313031994945,0.023099128687882012,18.23,16.58626,1.6437401580810551,3.0109933506526114,1.5119738965250584,False,2
0.5284846363929939,1.4121273458338428,0.01999037280593008,1.3899150864418994,0.008633068385246535,14.07,18.013432,3.9434315490722653,4.334042682996878,2.517043816245553,False,5
1.0841092463915696,0.991510878064239,0.0329517593082859,0.9310884109043525,0.019756465559165236,20.63,20.878754,0.248753662109376,2.328975328582736,1.4103240343098074,False,1
0.8209639989784733,0.8484399264069981,0.021082117837960955,0.642284035259282,0.006893279407429603,13.93,13.423477,0.5065228271484372,2.998935365183958,1.5341926303244189,False,2
1.490936816679187,1.356028836609831,0.010257607538281227,0.8926180616356836,0.00936879590435901,40.67,33.315815,7.354185028076174,3.9628130482604793,1.9816633694844044,False,5
1.306406978073872,0.8031867057240658,0.025030097008956656,1.2687093494631927,0.028158466033643872,16.78,16.919388,0.13938781738281136,2.6035235242246433,0.9632345081074518,True,1
0.6302258790012387,1.3738756865229047,0.012817455930052186,0.01,0.02207255500383636,16.85,17.49639,0.6463893890380845,3.963360793402086,2.0113363359000993,False,5
0.9454756844975747,1.296358824306503,0.029264851362784006,0.3774944500572748,0.033403399598544985,14.14,15.996507,1.8565066909790033,3.5520684588794627,1.8791185754304016,False,4
0.8496429550440908,1.013402550922232,0.013550174020041942,1.7232779557396904,0.010963810736977383,17.29,17.906517,0.6165170288085946,3.383523177861833,1.589487659744861,False,3
0.5549650402731157,0.9415154880338807,0.0345038918200755,1.6268051998353106,0.027588020356101427,9.44,13.529249,4.08924919128418,4.299988330893896,2.227902100544371,False,5
1.5681983400961998,1.3535887313190973,0.02103050134512608,0.37486369913336093,0.02825425276616581,16.73,16.682138,0.047861557006836364,3.4714883825890848,1.8512205501873331,False,3
1.293735205500366,0.8862792544573316,0.008954921111275141,1.3117527800939908,0.013749295679949237,22.95,21.48698,1.4630195617675774,2.9900162097966936,1.2491861492665837,False,2
1.623323844512793,0.7669885901720359,0.009759916682002732,1.4951099084476211,0.010641474797818674,25.19,23.01108,2.1789202117919935,4.148588566179274,2.110607440910511,False,5
0.7159043970951173,1.0892144436151217,0.031151642758689875,0.11502792833651643,0.015111773213463716,14.63,14.732725,0.1027251434326164,3.2207688366846425,1.6090601972093352,False,3
1.4323777848701171,1.4240550613987524,0.02051499787409364,0.01,0.006674779520524376,40.55,33.04628,7.503720092773435,4.191748657367369,2.387958644503472,False,5
0.7762609544261547,0.6688601756363436,0.025548982640132077,0.01,0.020691307469050006,10.18,11.16847,0.98847038269043,3.1494654012412613,1.3986502919292776,False,2
1.3327862771435437,1.07279246939233,0.01195136779905772,1.4364252628228118,0.02664292042207968,17.66,17.686335,0.02633460998535142,2.745394845274204,1.137106091544407,True,1
1.3863556746228292,0.6681728921906788,0.00978825305913948,1.7048363185074953,0.01759556935157109,18.58,20.309408,1.7294081878662126,3.7980383018805917,1.9838585858393905,False,4
0.8616583383702217,0.9896022683049093,0.02512802317689828,1.7658532032340784,0.014432075387163613,16.61,16.537472,0.07252822875976506,2.9673041642207423,1.5870337390767768,False,2
1.608944078605763,0.5726967241333816,0.02206450543351819,1.0664421556285884,0.009292554077779364,18.69,22.289091,3.599091110229491,4.006629336471445,2.2554036063293297,False,5
0.6692739304436033,0.9271464123695063,0.03376000410505533,0.9839593220608949,0.032837602406826955,11.43,13.523545,2.093545265197754,3.91880298232246,1.9224479339440559,False,5
1.4646669213871588,0.9705404862770801,0.028596526536611287,0.01,0.00938497192738928,28.24,27.896355,0.3436453247070297,3.3489641499885154,1.391941458465404,False,3
1.4946940782588989,1.2667151867685467,0.012886506356349605,0.8420258713794013,0.023528976207526284,19.74,19.258854,0.4811460876464828,2.8852145251710137,1.2158211096380567,True,2
1.5405838323754786,1.092562786386107,0.01800623226283192,0.5015368519984083,0.018401270858615,24.52,25.856146,1.3361458587646489,2.177773310914579,1.2164669063039506,False,1
1.2820799128744418,1.3302533191125971,0.01918209677540805,0.22680582460740717,0.013014922813913862,33.56,30.44168,3.1183190917968773,2.855958090426834,1.319280807869808,False,2
1.3947768387623034,1.2844726740202561,0.009262547468962894,0.01,0.02319927734055131,19.99,20.007538,0.017537841796876563,3.699054256041991,1.6105030954805755,False,4
0.6762617212091362,1.29175076266878,0.01509719833266548,0.01,0.03249450761491768,14.54,15.602794,1.0627936935424813,3.997797637096027,1.8788916756960927,False,5
0.6994501305538005,0.8063210171604804,0.010637873586432728,0.01,0.0068800693270127476,11.45,12.068331,0.6183307647705085,4.160176809151884,2.3135868152665093,False,5
0.5675241676130831,0.7073562696701678,0.007785901952568198,0.9733072138091132,0.02565535723357479,7.95,10.654221,2.7042205810546873,3.61046399087931,1.9028095874792648,False,4
0.9726765003638668,0.8362328912120638,0.02062269716626019,1.5905518970351484,0.030506467874230548,15.49,15.4572315,0.0327684783935549,2.881062122173506,1.5615174597129076,False,2
0.5532454685577436,0.7135209114154313,0.013003284657131244,0.23017191679946092,0.02253883495396834,7.81,10.5840025,2.774002494812012,3.315082895447666,1.687905532456001,False,3
0.9997860357184107,0.5946283984428904,0.016897743124123045,0.8267684638063795,0.009172270537463091,12.04,14.642878,2.6028775787353524,3.269143347106847,1.643366659449116,False,3
1.499521310563167,0.597062762838837,0.03258229776518368,0.01,0.0302913587825699,15.62,16.880396,1.2603958892822273,4.592665900570245,2.358201738883412,False,5
1.5824055350155963,1.4310174329609242,0.029087709268507705,1.3828313772837884,0.024567062528665723,19.0,19.052406,0.05240631103515625,3.822936492136442,2.056656787492147,False,4
1.4342841708610812,0.6713145382920289,0.021520182980737733,0.8060456886170331,0.03068980429999358,15.41,16.000757,0.5907572174072264,3.0994901384854994,1.293689078008426,False,2
1.0555299625694434,0.8965568364738812,0.024465021534746077,0.2673024351660901,0.010256729641330804,18.82,18.386753,0.43324691772460966,2.4119979038902564,1.1528225082637262,False,1
1.0735909228857463,0.9251460992885273,0.01288449178241852,0.48702834714955945,0.016707832765696345,19.84,19.815462,0.024537887573242045,1.7423171188120967,0.9631588521218697,True,1
0.8934573120368938,0.8914993788639709,0.025779022731093185,0.3334346307160736,0.03328835474603127,14.19,15.398585,1.2085853195190435,2.966577211764837,1.547345834509683,False,2
1.5988098397693742,0.9827034024474843,0.01561012265785538,0.8521701608100001,0.030433277594942805,15.54,16.302895,0.7628945922851571,3.038348358966615,1.4994112731499734,False,2
1.2828660748853027,1.273525158155718,0.021424983209800387,1.0641427023493406,0.014480734981305868,30.5,30.43111,0.06888961791992188,2.110527560141336,0.8986454185166867,True,1
1.3814554904736414,0.7323163444936659,0.02603666623583674,1.5594878347036587,0.01003852063585543,20.34,21.202362,0.8623620605468751,3.5810576293793224,1.821891972849799,False,4
1.237099385765077,0.6358417196476314,0.02691638832282809,0.01,0.03292062667276556,14.35,15.965223,1.61522331237793,3.879593598814908,2.0374909195962134,False,4
0.6657622549307691,1.4124159660888043,0.029055223381576248,0.9788264030294926,0.028556325724003243,16.5,15.96706,0.5329399108886719,3.645854808796591,1.8930560979797662,False,4
1.4535915773587362,1.4008604785792866,0.013476713654133573,0.9709850627781182,0.00898374792830475,40.88,33.36423,7.515768890380862,3.798543890264011,1.9091573832394082,False,4
1.2392386840294103,0.7043443456328706,0.02234200363467033,0.9326158857275253,0.01954284886409515,17.18,17.822844,0.6428435516357425,1.9698378059995048,1.0068835347215181,True,1
