run_id,rain_mult,imperv_mult,surf_n,infil_min,pipe_n,peak_discharge_cfs,total_flood_vol,num_flooded_nodes,continuity_error_pct,status
0,1.2827616703223104,0.9934733458722975,0.02540737327904337,1.100677632715728,0.01981242126078027,22.98,0.001,1,0.014,ok
1,0.8200390042373812,0.9954866323576116,0.012186129556399476,1.490928470465241,0.028652885334359966,16.02,0.0,0,0.0,ok
2,1.3234067231612279,0.8296878820133816,0.016979533125436933,1.2801139913215145,0.019077150260444563,21.89,0.0,0,0.029,ok
3,0.7732364180451443,0.857734498255581,0.01384757494426804,0.18969986960122154,0.02074199675283336,13.15,0.0,0,0.025,ok
4,0.7435870596158634,0.9743745688382441,0.02346511347507299,0.08510994874816563,0.015340421427111197,14.11,0.0,0,0.029,ok
5,0.9364885780674368,0.7774399347955275,0.029542335456900083,0.2815525604730041,0.014964044139776787,14.31,0.0,0,0.029,ok
6,1.2604083805505475,0.9904389883210789,0.022273618636390748,0.6202256668524989,0.01630215687917152,24.69,0.0,0,0.024,ok
7,1.2516968458254651,1.2542440941935975,0.019911923212803412,0.6293419628877525,0.015800547068202064,28.02,0.001,1,0.023,ok
8,1.1537005569298042,0.9126007861647306,0.017053389926123916,0.8639941367399921,0.013894374127546983,20.96,0.0,0,0.031,ok
9,1.3163123770280052,0.8615350259451637,0.017335043532050648,0.17272076303847256,0.018860689405622848,22.57,0.0,0,0.024,ok
10,0.9284801468760397,0.8715911652762988,0.019330096873654917,0.1669719325158831,0.0215752037156122,15.7,0.0,0,0.024,ok
11,1.4299508335503648,1.079849301069354,0.02773638783455379,0.42079458870542974,0.017607647857205633,25.49,0.004,1,0.016,ok
12,0.8573305552611352,0.9298346845526282,0.027774521027953716,0.6219815033134936,0.027923880703839978,15.24,0.0,0,-0.009,ok
13,0.8943142729589472,1.1361289514071056,0.02295844989627362,0.14561062827975296,0.01425140473920917,19.68,0.0,0,0.03,ok
14,1.2308566645234889,0.8123097656275304,0.02031557068321581,1.0440215754909905,0.016127784495815815,19.93,0.0,0,0.029,ok
15,1.1699497857727648,0.8328476874906799,0.019486847172440376,0.9792846067582104,0.020394211868053957,19.34,0.0,0,0.028,ok
16,1.3389370983354763,1.095512335766272,0.013059067225382689,1.4212157785322677,0.02619913694122091,17.94,0.02,1,0.006,ok
17,0.9094559234227589,1.0135331687792843,0.016872448665250447,0.4874323118408025,0.01941696029854607,17.64,0.0,0,0.026,ok
18,1.384556300635659,0.7759644155499067,0.024739046061528186,0.6433950384443202,0.02976054254061238,15.9,0.007,1,-0.007,ok
19,1.2237915478510097,0.8411658248673359,0.014226669303065986,0.5368577828838506,0.024567447888747117,19.0,0.001,1,0.015,ok
20,0.7449462708948678,0.8143603514394271,0.013953896941464539,0.5865893885056916,0.0130604074656493,12.16,0.0,0,0.032,ok
21,1.3916529756973457,1.1314607661974274,0.019273654820649883,0.4586204662097549,0.021871701108931333,21.05,0.015,1,0.012,ok
