model,n_train,MAE,RMSE,R2
baseline_500,500,1.4673399663289388,2.135633584129592,0.9080743106950484
+150_random,650,0.7574081586201985,1.121746542245434,0.97463861946006
+150_adaptive,650,0.7321697149276732,1.0977152032978406,0.9757136208962229
